AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ASP,461,0.1316,-170.7,-32.3,0.0,0.0,7.32,21.72,0.0,0.0
ASP,335,0.0957,-72.9,29.0,0.0,0.0,10.2,21.6,0.0,0.0
ASP,187,0.0534,-70.1,162.3,0.0,0.0,7.48,16.92,0.0,0.0
ASP,1331,0.3801,-68.4,-29.9,0.0,0.0,7.29,15.41,0.0,0.0
HIS,55,0.0404,60.0,83.7,0.0,0.0,7.03,12.11,0.0,0.0
HIS,7,0.0051,61.3,-163.1,0.0,0.0,6.96,36.9,0.0,0.0
HIS,91,0.0669,66.2,-81.2,0.0,0.0,7.97,10.89,0.0,0.0
HIS,195,0.1434,-178.5,71.9,0.0,0.0,8.55,12.13,0.0,0.0
HIS,63,0.0463,-172.6,-160.2,0.0,0.0,8.0,23.59,0.0,0.0
HIS,182,0.1338,-172.6,-85.8,0.0,0.0,8.16,15.25,0.0,0.0
HIS,228,0.1676,-66.5,84.3,0.0,0.0,7.87,13.9,0.0,0.0
HIS,143,0.1051,-68.7,161.0,0.0,0.0,5.94,19.82,0.0,0.0
HIS,396,0.2912,-62.2,-71.8,0.0,0.0,7.48,13.5,0.0,0.0
ILE,72,0.0207,59.3,92.8,0.0,0.0,10.83,8.68,0.0,0.0
ILE,415,0.1191,63.0,172.5,0.0,0.0,6.28,7.55,0.0,0.0
ILE,8,0.0023,67.1,-72.8,0.0,0.0,10.46,14.81,0.0,0.0
ILE,103,0.0296,-169.6,64.5,0.0,0.0,7.72,8.19,0.0,0.0
ILE,186,0.0534,-171.4,170.1,0.0,0.0,7.66,8.36,0.0,0.0
ILE,7,0.002,-172.6,-86.9,0.0,0.0,10.03,9.99,0.0,0.0
ILE,130,0.0373,-70.0,83.0,0.0,0.0,10.63,12.87,0.0,0.0
ILE,1954,0.5607,-63.9,172.8,0.0,0.0,6.16,7.67,0.0,0.0
ILE,610,0.175,-58.2,-61.4,0.0,0.0,5.99,8.0,0.0,0.0
LEU,50,0.0087,59.8,81.7,0.0,0.0,10.89,12.5,0.0,0.0
LEU,37,0.0064,70.1,164.5,0.0,0.0,11.46,12.63,0.0,0.0
LEU,7,0.0012,58.6,-56.9,0.0,0.0,12.71,16.48,0.0,0.0
LEU,1442,0.2509,-178.1,61.4,0.0,0.0,8.26,7.12,0.0,0.0
LEU,256,0.0445,-156.9,176.9,0.0,0.0,15.37,23.36,0.0,0.0
LEU,67,0.0117,-161.6,-77.1,0.0,0.0,12.72,19.79,0.0,0.0
LEU,383,0.0666,-89.1,51.1,0.0,0.0,11.27,17.66,0.0,0.0
LEU,3391,0.5899,-66.4,175.6,0.0,0.0,7.26,7.23,0.0,0.0
LEU,115,0.02,-80.6,-49.9,0.0,0.0,11.68,15.68,0.0,0.0
PHE,148,0.0596,62.1,85.8,0.0,0.0,8.04,7.35,0.0,0.0
PHE,1,0.0004,61.7,-120.6,0.0,0.0,0.0,0.0,0.0,0.0
PHE,105,0.0423,62.5,-84.0,0.0,0.0,6.51,5.78,0.0,0.0
PHE,720,0.2897,-179.7,72.3,0.0,0.0,7.45,9.76,0.0,0.0
PHE,9,0.0036,-167.2,-146.8,0.0,0.0,9.2,34.3,0.0,0.0
PHE,107,0.0431,-174.6,-84.8,0.0,0.0,7.65,9.13,0.0,0.0
PHE,447,0.1799,-69.1,83.4,0.0,0.0,8.8,11.82,0.0,0.0
PHE,48,0.0193,-67.4,142.7,0.0,0.0,8.15,13.99,0.0,0.0
PHE,900,0.3622,-66.2,-71.7,0.0,0.0,7.29,14.92,0.0,0.0
PRO,25,0.0087,5.2,10.7,0.0,0.0,2.8,4.81,0.0,0.0
PRO,1256,0.4384,27.3,-35.1,0.0,0.0,5.18,4.63,0.0,0.0
PRO,1573,0.549,-25.6,36.0,0.0,0.0,4.98,4.47,0.0,0.0
PRO,11,0.0038,-7.9,-7.3,0.0,0.0,5.12,5.18,0.0,0.0
TRP,29,0.04,57.4,88.6,0.0,0.0,8.26,7.58,0.0,0.0
TRP,74,0.1021,61.8,-91.3,0.0,0.0,8.25,7.02,0.0,0.0
TRP,145,0.2,179.6,80.1,0.0,0.0,6.8,9.68,0.0,0.0
TRP,19,0.0262,-178.9,-129.0,0.0,0.0,9.21,5.79,0.0,0.0
TRP,100,0.1379,-176.4,-95.9,0.0,0.0,9.56,12.32,0.0,0.0
TRP,249,0.3434,-69.7,93.3,0.0,0.0,8.39,15.97,0.0,0.0
TRP,14,0.0193,-66.1,127.2,0.0,0.0,8.82,5.54,0.0,0.0
TRP,95,0.131,-68.2,-45.2,0.0,0.0,7.82,32.81,0.0,0.0
TYR,145,0.0662,64.1,85.4,0.0,0.0,7.57,7.02,0.0,0.0
TYR,4,0.0018,78.0,127.1,0.0,0.0,17.16,21.97,0.0,0.0
TYR,70,0.032,64.7,-82.1,0.0,0.0,8.51,7.01,0.0,0.0
TYR,667,0.3047,-179.7,75.1,0.0,0.0,7.47,9.3,0.0,0.0
TYR,10,0.0046,-176.3,-159.2,0.0,0.0,8.23,32.37,0.0,0.0
TYR,145,0.0662,-178.9,-85.7,0.0,0.0,7.63,8.75,0.0,0.0
TYR,377,0.1722,-67.4,83.0,0.0,0.0,8.57,10.86,0.0,0.0
TYR,34,0.0155,-67.2,146.4,0.0,0.0,9.73,16.19,0.0,0.0
TYR,737,0.3367,-66.1,-71.1,0.0,0.0,8.52,14.18,0.0,0.0
CYS,160,0.2139,64.8,0.0,0.0,0.0,7.59,0.0,0.0,0.0
CYS,193,0.258,-177.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
CYS,395,0.5281,-65.9,0.0,0.0,0.0,8.36,0.0,0.0,0.0
SER,1425,0.4299,64.6,0.0,0.0,0.0,8.75,0.0,0.0,0.0
SER,912,0.2751,177.9,0.0,0.0,0.0,9.25,0.0,0.0,0.0
SER,978,0.295,-60.9,0.0,0.0,0.0,10.39,0.0,0.0,0.0
THR,1402,0.4728,61.9,0.0,0.0,0.0,7.62,0.0,0.0,0.0
THR,279,0.0941,-179.0,0.0,0.0,0.0,10.27,0.0,0.0,0.0
THR,1284,0.4331,-58.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0
