AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
MET,81,0.0676,-67.2,-176.9,178.7,0.0,7.6,7.44,16.38,0.0
MET,137,0.1144,-68.0,-173.5,-67.9,0.0,8.15,8.72,13.92,0.0
MET,65,0.0543,-63.9,-65.4,95.5,0.0,4.97,9.07,8.46,0.0
MET,42,0.0351,-65.8,-59.3,164.1,0.0,8.51,10.18,18.41,0.0
MET,221,0.1845,-66.8,-61.5,-69.4,0.0,8.14,8.81,10.94,0.0
ASN,205,0.0713,62.1,42.5,0.0,0.0,8.51,22.92,0.0,0.0
ASN,27,0.0094,61.7,-173.1,0.0,0.0,11.03,26.23,0.0,0.0
ASN,157,0.0546,62.0,-38.8,0.0,0.0,7.36,17.96,0.0,0.0
ASN,399,0.1388,-170.6,39.3,0.0,0.0,9.75,16.79,0.0,0.0
ASN,65,0.0226,-167.3,-160.4,0.0,0.0,9.83,24.65,0.0,0.0
ASN,373,0.1297,-170.3,-49.7,0.0,0.0,8.6,26.18,0.0,0.0
ASN,303,0.1054,-70.4,56.7,0.0,0.0,12.03,32.79,0.0,0.0
ASN,203,0.0706,-69.1,151.0,0.0,0.0,9.17,17.53,0.0,0.0
ASN,1143,0.3976,-68.9,-39.7,0.0,0.0,8.1,18.03,0.0,0.0
ASP,234,0.0607,58.0,28.8,0.0,0.0,8.36,20.49,0.0,0.0
ASP,66,0.0171,62.4,-179.5,0.0,0.0,6.18,20.82,0.0,0.0
ASP,275,0.0714,61.1,-33.3,0.0,0.0,8.13,19.44,0.0,0.0
ASP,628,0.163,-173.3,41.3,0.0,0.0,8.06,22.22,0.0,0.0
ASP,115,0.0298,-173.4,-179.3,0.0,0.0,8.75,19.71,0.0,0.0
ASP,497,0.129,-170.4,-32.3,0.0,0.0,7.45,22.12,0.0,0.0
ASP,386,0.1002,-73.0,28.8,0.0,0.0,9.79,21.48,0.0,0.0
ASP,202,0.0524,-70.1,162.3,0.0,0.0,7.69,17.1,0.0,0.0
ASP,1450,0.3763,-68.4,-29.8,0.0,0.0,7.26,15.47,0.0,0.0
HIS,65,0.0404,59.9,82.4,0.0,0.0,6.86,12.23,0.0,0.0
HIS,17,0.0106,60.4,-146.6,0.0,0.0,5.15,27.07,0.0,0.0
HIS,113,0.0703,66.0,-81.3,0.0,0.0,7.64,11.36,0.0,0.0
HIS,229,0.1424,-178.3,71.2,0.0,0.0,8.36,12.5,0.0,0.0
HIS,77,0.0479,-172.7,-159.9,0.0,0.0,8.14,23.9,0.0,0.0
HIS,220,0.1368,-172.1,-85.1,0.0,0.0,7.99,15.23,0.0,0.0
HIS,252,0.1567,-66.9,84.4,0.0,0.0,7.8,14.17,0.0,0.0
HIS,168,0.1045,-68.7,161.5,0.0,0.0,6.02,19.53,0.0,0.0
HIS,467,0.2904,-62.2,-71.5,0.0,0.0,7.72,13.97,0.0,0.0
ILE,77,0.0204,58.6,92.8,0.0,0.0,11.49,8.89,0.0,0.0
ILE,452,0.1195,63.2,172.5,0.0,0.0,6.36,7.56,0.0,0.0
ILE,9,0.0024,67.4,-71.5,0.0,0.0,9.21,13.13,0.0,0.0
ILE,116,0.0307,-168.8,64.6,0.0,0.0,8.12,7.92,0.0,0.0
ILE,211,0.0558,-171.3,170.0,0.0,0.0,7.44,8.17,0.0,0.0
ILE,7,0.0019,-172.6,-86.9,0.0,0.0,10.03,9.99,0.0,0.0
ILE,142,0.0376,-70.3,82.6,0.0,0.0,11.25,13.09,0.0,0.0
ILE,2104,0.5565,-63.9,172.9,0.0,0.0,6.27,7.67,0.0,0.0
ILE,663,0.1754,-58.5,-61.2,0.0,0.0,5.96,8.22,0.0,0.0
LEU,55,0.009,58.7,80.8,0.0,0.0,11.77,12.99,0.0,0.0
LEU,41,0.0067,70.3,164.5,0.0,0.0,10.8,12.1,0.0,0.0
LEU,7,0.0011,58.6,-56.9,0.0,0.0,12.71,16.48,0.0,0.0
LEU,1543,0.2523,-178.0,61.5,0.0,0.0,8.27,7.15,0.0,0.0
LEU,269,0.044,-157.6,176.1,0.0,0.0,15.29,23.4,0.0,0.0
LEU,72,0.0118,-161.4,-78.8,0.0,0.0,12.64,19.15,0.0,0.0
LEU,413,0.0675,-89.2,50.4,0.0,0.0,11.39,17.55,0.0,0.0
LEU,3592,0.5873,-66.3,175.6,0.0,0.0,7.24,7.23,0.0,0.0
LEU,124,0.0203,-81.0,-50.0,0.0,0.0,11.61,16.03,0.0,0.0
PHE,172,0.062,62.1,85.9,0.0,0.0,7.87,7.05,0.0,0.0
PHE,1,0.0004,61.7,-120.6,0.0,0.0,0.0,0.0,0.0,0.0
PHE,120,0.0433,63.3,-83.8,0.0,0.0,6.77,6.02,0.0,0.0
PHE,795,0.2867,-179.7,72.5,0.0,0.0,7.39,9.72,0.0,0.0
PHE,12,0.0043,-168.1,-145.8,0.0,0.0,7.34,27.13,0.0,0.0
PHE,124,0.0447,-175.1,-85.1,0.0,0.0,7.48,9.43,0.0,0.0
PHE,486,0.1753,-69.2,83.2,0.0,0.0,8.98,12.27,0.0,0.0
PHE,54,0.0195,-66.5,141.2,0.0,0.0,8.19,13.26,0.0,0.0
PHE,1009,0.3639,-66.1,-71.9,0.0,0.0,7.32,14.73,0.0,0.0
PRO,34,0.0107,5.2,9.6,0.0,0.0,3.21,4.78,0.0,0.0
PRO,1385,0.4364,27.3,-35.1,0.0,0.0,5.16,4.63,0.0,0.0
PRO,1744,0.5495,-25.5,36.0,0.0,0.0,5.03,4.52,0.0,0.0
PRO,11,0.0035,-7.9,-7.3,0.0,0.0,5.12,5.18,0.0,0.0
TRP,33,0.0417,57.2,88.1,0.0,0.0,7.86,7.48,0.0,0.0
TRP,84,0.1062,62.3,-91.4,0.0,0.0,8.05,6.6,0.0,0.0
TRP,158,0.1997,179.8,80.4,0.0,0.0,7.03,9.64,0.0,0.0
