AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
GLU,113,0.0233,-65.1,-69.8,162.8,0.0,10.54,9.33,17.81,0.0
GLU,500,0.103,-66.3,-63.2,-41.2,0.0,8.56,8.79,16.6,0.0
MET,1,0.0008,68.3,83.9,77.3,0.0,0.0,0.0,0.0,0.0
MET,1,0.0008,62.8,71.5,157.2,0.0,0.0,0.0,0.0,0.0
MET,2,0.0017,72.8,82.7,-57.3,0.0,31.75,17.46,25.27,0.0
MET,37,0.0309,63.1,-177.8,71.6,0.0,8.44,8.42,14.79,0.0
MET,17,0.0142,60.3,-174.6,175.9,0.0,7.58,9.48,23.28,0.0
MET,39,0.0326,63.2,-179.2,-69.4,0.0,9.31,8.96,10.94,0.0
MET,4,0.0033,61.9,-67.0,-173.7,0.0,14.84,4.95,19.75,0.0
MET,5,0.0042,56.0,-55.2,-68.5,0.0,18.58,20.35,4.95,0.0
MET,65,0.0543,-173.0,60.5,74.5,0.0,10.61,6.26,13.03,0.0
MET,27,0.0225,-171.0,63.8,-175.0,0.0,9.46,7.01,21.34,0.0
MET,10,0.0083,-176.2,82.7,-82.6,0.0,11.87,5.6,12.52,0.0
MET,77,0.0643,-176.4,-179.3,68.1,0.0,7.7,13.2,12.6,0.0
MET,44,0.0367,-174.3,176.8,177.4,0.0,8.17,9.01,13.24,0.0
MET,93,0.0776,-173.7,178.8,-68.1,0.0,9.89,7.68,11.78,0.0
MET,1,0.0008,-157.0,-63.0,106.9,0.0,0.0,0.0,0.0,0.0
MET,6,0.005,-175.1,-81.4,176.3,0.0,20.11,11.84,6.41,0.0
MET,15,0.0125,-177.0,-85.4,-67.8,0.0,4.6,5.37,13.41,0.0
MET,10,0.0083,-77.5,68.0,68.1,0.0,11.2,7.75,5.67,0.0
MET,5,0.0042,-70.5,81.5,168.1,0.0,8.87,3.08,11.09,0.0
MET,3,0.0025,-64.3,39.8,-77.2,0.0,24.25,36.3,12.41,0.0
MET,187,0.1561,-67.1,177.7,69.0,0.0,7.23,8.07,8.77,0.0
MET,108,0.0902,-68.5,-178.3,-177.7,0.0,7.98,8.03,17.34,0.0
MET,135,0.1127,-67.3,-172.2,-71.5,0.0,8.01,7.93,14.15,0.0
MET,65,0.0543,-66.0,-63.1,96.8,0.0,4.61,7.06,7.29,0.0
MET,31,0.0259,-64.8,-65.3,178.0,0.0,9.3,10.69,19.81,0.0
MET,210,0.1753,-66.5,-62.0,-68.2,0.0,7.55,7.86,9.54,0.0
ASN,191,0.0664,62.8,47.6,0.0,0.0,8.13,24.44,0.0,0.0
ASN,27,0.0094,67.9,-176.9,0.0,0.0,4.14,19.23,0.0,0.0
ASN,149,0.0518,65.6,-35.7,0.0,0.0,7.85,16.74,0.0,0.0
ASN,422,0.1468,-169.2,38.0,0.0,0.0,9.9,18.01,0.0,0.0
ASN,76,0.0264,-172.8,-158.6,0.0,0.0,8.02,22.0,0.0,0.0
ASN,357,0.1242,-170.8,-47.4,0.0,0.0,8.32,25.46,0.0,0.0
ASN,290,0.1009,-70.3,60.7,0.0,0.0,11.99,32.88,0.0,0.0
ASN,202,0.0703,-69.2,152.5,0.0,0.0,8.36,17.75,0.0,0.0
ASN,1161,0.4038,-69.0,-38.5,0.0,0.0,7.81,18.0,0.0,0.0
ASP,221,0.0574,58.0,28.5,0.0,0.0,6.93,17.41,0.0,0.0
ASP,69,0.0179,62.5,179.1,0.0,0.0,6.52,17.71,0.0,0.0
ASP,243,0.0631,61.9,-33.9,0.0,0.0,7.78,19.49,0.0,0.0
ASP,645,0.1674,-173.5,41.4,0.0,0.0,8.61,22.09,0.0,0.0
ASP,116,0.0301,-173.2,178.4,0.0,0.0,7.82,20.52,0.0,0.0
ASP,540,0.1402,-169.3,-30.7,0.0,0.0,8.61,21.94,0.0,0.0
ASP,342,0.0888,-74.4,25.2,0.0,0.0,9.83,19.63,0.0,0.0
ASP,159,0.0413,-69.7,166.0,0.0,0.0,7.98,13.71,0.0,0.0
ASP,1518,0.394,-68.3,-28.8,0.0,0.0,7.09,14.58,0.0,0.0
HIS,63,0.0392,61.1,82.8,0.0,0.0,8.02,11.44,0.0,0.0
HIS,20,0.0124,63.2,-160.9,0.0,0.0,5.16,37.04,0.0,0.0
HIS,120,0.0746,63.1,-79.5,0.0,0.0,8.1,10.69,0.0,0.0
HIS,219,0.1362,-178.7,69.6,0.0,0.0,8.06,12.07,0.0,0.0
HIS,65,0.0404,-175.5,-164.0,0.0,0.0,8.03,19.73,0.0,0.0
HIS,231,0.1437,-171.6,-86.2,0.0,0.0,7.73,13.46,0.0,0.0
HIS,242,0.1505,-66.8,86.7,0.0,0.0,7.34,14.62,0.0,0.0
HIS,186,0.1157,-68.6,168.7,0.0,0.0,6.82,21.49,0.0,0.0
HIS,462,0.2873,-62.8,-71.5,0.0,0.0,8.39,12.98,0.0,0.0
ILE,53,0.014,59.0,93.1,0.0,0.0,12.93,11.0,0.0,0.0
ILE,461,0.1219,62.1,172.2,0.0,0.0,6.29,7.6,0.0,0.0
ILE,12,0.0032,58.6,-72.6,0.0,0.0,17.71,20.86,0.0,0.0
ILE,134,0.0354,-170.1,65.6,0.0,0.0,9.39,6.4,0.0,0.0
ILE,213,0.0563,-170.9,169.2,0.0,0.0,7.26,7.45,0.0,0.0
ILE,17,0.0045,-174.4,-29.2,0.0,0.0,14.17,34.94,0.0,0.0
ILE,133,0.0352,-68.9,82.4,0.0,0.0,11.35,14.66,0.0,0.0
ILE,2126,0.5623,-63.9,172.5,0.0,0.0,5.89,7.35,0.0,0.0
ILE,632,0.1672,-59.2,-60.7,0.0,0.0,6.3,7.32,0.0,0.0
LEU,54,0.0088,54.5,77.5,0.0,0.0,12.84,13.16,0.0,0.0
LEU,30,0.0049,69.1,159.1,0.0,0.0,10.15,12.91,0.0,0.0
LEU,15,0.0025,54.8,-68.1,0.0,0.0,13.86,16.95,0.0,0.0
LEU,1513,0.2474,-178.1,61.4,0.0,0.0,7.95,6.54,0.0,0.0
LEU,256,0.0419,-162.1,169.7,0.0,0.0,15.66,22.03,0.0,0.0
LEU,65,0.0106,-165.2,-74.1,0.0,0.0,15.86,16.88,0.0,0.0
LEU,376,0.0615,-90.6,52.3,0.0,0.0,10.63,16.97,0.0,0.0
LEU,3693,0.6038,-65.5,175.3,0.0,0.0,7.14,7.0,0.0,0.0
LEU,114,0.0186,-77.5,-50.3,0.0,0.0,12.94,16.43,0.0,0.0
PHE,195,0.0703,63.1,86.5,0.0,0.0,7.39,7.47,0.0,0.0
PHE,4,0.0014,64.7,150.8,0.0,0.0,5.51,22.27,0.0,0.0
PHE,118,0.0426,63.0,-83.6,0.0,0.0,7.42,6.31,0.0,0.0
PHE,756,0.2726,-179.6,72.6,0.0,0.0,7.38,9.65,0.0,0.0
PHE,17,0.0061,-168.3,-160.7,0.0,0.0,7.07,29.28,0.0,0.0
PHE,119,0.0429,-174.1,-85.7,0.0,0.0,8.56,9.22,0.0,0.0
PHE,501,0.1807,-70.2,83.3,0.0,0.0,8.95,12.33,0.0,0.0
PHE,62,0.0224,-67.4,155.6,0.0,0.0,7.26,25.27,0.0,0.0
PHE,1001,0.361,-65.3,-71.7,0.0,0.0,7.84,14.53,0.0,0.0
PRO,41,0.0129,6.7,11.5,0.0,0.0,4.83,5.49,0.0,0.0
PRO,3,0.0009,35.4,149.7,0.0,0.0,11.72,11.58,0.0,0.0
PRO,1409,0.4439,27.3,-35.0,0.0,0.0,5.09,4.89,0.0,0.0
PRO,4,0.0013,-179.3,67.9,0.0,0.0,5.13,11.0,0.0,0.0
PRO,9,0.0028,-176.5,178.2,0.0,0.0,9.12,7.85,0.0,0.0
PRO,6,0.0019,-168.1,-45.7,0.0,0.0,6.87,13.49,0.0,0.0
PRO,1678,0.5287,-25.6,36.2,0.0,0.0,5.02,4.88,0.0,0.0
PRO,9,0.0028,-63.4,176.9,0.0,0.0,3.7,7.04,0.0,0.0
PRO,15,0.0047,-8.7,-18.6,0.0,0.0,17.2,16.86,0.0,0.0
