AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
PHE,60,0.0241,-67.0,153.9,0.0,0.0,7.18,24.79,0.0,0.0
PHE,890,0.3581,-65.4,-71.6,0.0,0.0,7.81,14.58,0.0,0.0
PRO,35,0.0122,6.9,11.7,0.0,0.0,5.29,5.95,0.0,0.0
PRO,2,0.0007,45.0,159.1,0.0,0.0,15.01,14.84,0.0,0.0
PRO,1269,0.4429,27.4,-35.0,0.0,0.0,5.1,4.93,0.0,0.0
PRO,4,0.0014,-179.3,67.9,0.0,0.0,5.13,11.0,0.0,0.0
PRO,9,0.0031,-176.5,178.2,0.0,0.0,9.12,7.85,0.0,0.0
PRO,6,0.0021,-168.1,-45.7,0.0,0.0,6.87,13.49,0.0,0.0
PRO,1518,0.5298,-25.5,36.2,0.0,0.0,4.99,4.83,0.0,0.0
PRO,9,0.0031,-63.4,176.9,0.0,0.0,3.7,7.04,0.0,0.0
PRO,13,0.0045,-11.4,-20.3,0.0,0.0,20.64,20.14,0.0,0.0
TRP,32,0.0441,58.2,86.3,0.0,0.0,8.27,9.53,0.0,0.0
TRP,1,0.0014,97.7,-130.9,0.0,0.0,0.0,0.0,0.0,0.0
TRP,66,0.091,59.2,-90.8,0.0,0.0,8.07,7.6,0.0,0.0
TRP,139,0.1917,179.3,81.4,0.0,0.0,6.55,8.81,0.0,0.0
TRP,17,0.0234,178.3,-127.7,0.0,0.0,6.66,3.45,0.0,0.0
TRP,108,0.149,-177.0,-95.4,0.0,0.0,9.82,13.76,0.0,0.0
TRP,255,0.3517,-69.2,93.8,0.0,0.0,7.98,14.97,0.0,0.0
TRP,23,0.0317,-62.9,129.2,0.0,0.0,8.56,8.79,0.0,0.0
TRP,84,0.1159,-67.0,-44.8,0.0,0.0,7.8,31.84,0.0,0.0
TYR,140,0.064,64.1,84.6,0.0,0.0,7.17,7.51,0.0,0.0
TYR,5,0.0023,55.2,169.7,0.0,0.0,11.82,33.63,0.0,0.0
