AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ASN,-60,150,3,12,0.25,69.72,71.84,0.0,0.0,5.23,3.37,0.0,0.0
ASN,-60,150,3,12,0.25,-66.58,30.55,0.0,0.0,10.17,27.83,0.0,0.0
ASN,-60,150,4,12,0.33333333,-66.4,-22.63,0.0,0.0,7.01,8.12,0.0,0.0
ASN,60,-120,2,2,1.0,-74.13,69.03,0.0,0.0,15.24,27.62,0.0,0.0
ASN,60,0,2,2,1.0,-63.96,-57.97,0.0,0.0,1.62,0.28,0.0,0.0
ASN,60,30,3,17,0.17647059,-48.79,105.77,0.0,0.0,4.89,37.01,0.0,0.0
ASN,60,30,11,17,0.64705882,-70.53,-28.65,0.0,0.0,10.41,14.97,0.0,0.0
ASN,60,60,2,5,0.4,-152.37,44.93,0.0,0.0,12.06,10.13,0.0,0.0
ASP,-150,-180,5,7,0.71428571,68.87,29.16,0.0,0.0,4.48,13.61,0.0,0.0
ASP,-150,-150,2,4,0.5,71.55,-15.16,0.0,0.0,3.46,12.51,0.0,0.0
ASP,-150,90,4,5,0.8,-170.38,-8.16,0.0,0.0,8.98,4.27,0.0,0.0
ASP,-150,120,2,7,0.28571429,-166.86,56.21,0.0,0.0,3.07,7.15,0.0,0.0
ASP,-150,120,4,7,0.57142857,-174.62,-44.54,0.0,0.0,2.06,37.26,0.0,0.0
ASP,-150,150,6,9,0.66666667,-165.92,23.15,0.0,0.0,6.21,12.6,0.0,0.0
ASP,-150,150,2,9,0.22222222,-160.31,-9.13,0.0,0.0,7.01,8.21,0.0,0.0
ASP,-120,-180,2,3,0.66666667,62.03,14.97,0.0,0.0,6.43,13.57,0.0,0.0
ASP,-120,-30,2,2,1.0,-69.73,57.89,0.0,0.0,4.73,2.68,0.0,0.0
ASP,-120,30,3,7,0.42857143,64.1,-13.04,0.0,0.0,4.04,13.92,0.0,0.0
ASP,-120,90,4,7,0.57142857,175.33,20.67,0.0,0.0,5.94,14.35,0.0,0.0
ASP,-120,120,2,13,0.15384615,-171.69,46.61,0.0,0.0,2.07,17.27,0.0,0.0
ASP,-120,120,7,13,0.53846154,-61.2,-62.43,0.0,0.0,12.86,13.84,0.0,0.0
ASP,-120,150,2,12,0.16666667,-167.54,55.0,0.0,0.0,1.17,41.18,0.0,0.0
ASP,-120,150,4,12,0.33333333,-77.34,36.12,0.0,0.0,12.2,9.94,0.0,0.0
ASP,-120,150,3,12,0.25,-64.75,-32.32,0.0,0.0,3.67,27.02,0.0,0.0
ASP,-90,-180,7,13,0.53846154,58.65,20.53,0.0,0.0,4.85,12.89,0.0,0.0
