AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-120,-30,3,27,0.11111111,-72.39,177.09,-166.87,165.81,4.17,12.3,9.03,4.78
ARG,-120,-30,2,27,0.07407407,-65.5,171.4,-159.55,-78.92,8.71,8.02,33.39,13.62
ARG,-120,-30,2,27,0.07407407,-68.82,-158.79,-80.15,-175.24,10.74,13.98,11.17,49.27
ARG,-120,-30,2,27,0.07407407,-61.98,-63.0,-176.71,153.3,1.1,5.99,24.11,9.82
ARG,-120,-30,2,27,0.07407407,-67.8,-56.6,-51.71,-87.74,0.14,0.1,1.1,1.11
ARG,-120,0,2,64,0.03125,74.08,176.31,73.1,87.31,1.02,3.08,4.0,0.4
ARG,-120,0,3,64,0.046875,30.08,-174.68,88.29,167.09,19.07,13.86,7.78,5.45
ARG,-120,0,2,64,0.03125,56.17,-169.66,-177.07,-179.57,5.26,13.73,5.91,4.03
ARG,-120,0,2,64,0.03125,-68.99,115.08,67.38,-161.18,16.39,3.14,10.64,0.31
ARG,-120,0,7,64,0.109375,-63.5,175.71,57.96,87.33,3.69,5.53,6.28,6.13
ARG,-120,0,5,64,0.078125,-68.09,177.46,72.03,-170.85,6.68,18.39,13.7,8.2
ARG,-120,0,5,64,0.078125,-63.11,179.51,179.73,79.83,5.23,6.53,11.35,9.66
ARG,-120,0,10,64,0.15625,-62.68,176.74,170.96,168.72,4.95,9.68,6.59,8.65
ARG,-120,0,3,64,0.046875,-57.8,165.19,-170.32,-78.64,7.1,12.23,4.95,2.11
ARG,-120,0,6,64,0.09375,-63.22,-174.4,-64.69,147.29,5.66,10.72,6.1,25.61
ARG,-120,0,4,64,0.0625,-63.43,-176.96,-65.82,-93.55,4.11,16.44,8.81,9.1
ARG,-120,0,2,64,0.03125,-59.91,-81.42,165.84,92.21,6.9,7.7,18.94,7.08
ARG,-120,0,2,64,0.03125,-53.49,-74.22,-177.6,176.55,6.67,6.71,12.39,5.75
ARG,-120,0,2,64,0.03125,-69.6,-77.6,155.43,-99.7,6.31,11.08,26.83,15.86
ARG,-120,30,3,40,0.075,50.7,178.91,179.4,84.55,3.2,12.19,11.17,13.24
ARG,-120,30,2,40,0.05,-92.04,158.31,69.5,171.18,20.08,17.3,4.73,8.49
ARG,-120,30,2,40,0.05,-69.47,-176.41,-170.88,82.13,11.65,19.01,7.87,12.61
ARG,-120,30,8,40,0.2,-50.35,-167.13,-177.49,-175.18,7.29,9.33,6.39,11.9
ARG,-120,30,6,40,0.15,-71.0,176.33,171.47,-90.32,11.54,10.47,13.31,13.44
ARG,-120,30,4,40,0.1,-73.67,-176.32,-74.78,111.77,4.12,2.43,2.5,4.25
ARG,-120,30,3,40,0.075,-61.31,-175.76,-74.97,163.68,15.88,12.63,5.37,11.61
ARG,-120,30,2,40,0.05,-74.99,179.91,-66.49,-78.16,0.51,8.05,18.6,4.43
ARG,-120,30,2,40,0.05,-61.64,-67.81,-71.63,-176.86,0.92,4.32,3.39,2.95
ARG,-120,60,2,19,0.10526316,-56.18,-178.62,61.28,158.06,2.23,3.98,6.4,4.2
ARG,-120,60,3,19,0.15789474,-58.16,-171.66,-161.37,-86.97,6.47,5.77,5.03,12.46
ARG,-120,60,6,19,0.31578947,-65.83,-61.54,-57.25,-83.71,3.05,7.23,8.26,6.98
ARG,-120,90,2,31,0.06451613,-156.13,171.14,66.85,-111.05,27.32,13.48,3.72,8.1
ARG,-120,90,5,31,0.16129032,178.7,175.04,-91.11,173.83,4.19,4.43,8.31,4.29
ARG,-120,90,3,31,0.09677419,-173.6,-169.34,-63.55,-82.42,3.94,3.39,9.04,4.11
ARG,-120,90,3,31,0.09677419,-50.29,161.78,88.04,-152.23,4.49,19.57,17.81,12.22
ARG,-120,90,4,31,0.12903226,-56.24,174.33,171.7,-176.67,12.02,4.68,7.82,2.36
ARG,-120,120,4,170,0.02352941,-179.59,64.73,174.18,169.89,4.17,5.78,3.73,12.2
ARG,-120,120,2,170,0.01176471,-169.34,82.42,-166.53,-106.29,2.61,4.93,0.74,6.58
ARG,-120,120,11,170,0.06470588,-176.46,170.89,65.27,86.6,7.84,11.26,12.02,10.07
ARG,-120,120,8,170,0.04705882,179.74,169.76,66.81,-149.88,4.46,10.43,11.2,24.53
ARG,-120,120,6,170,0.03529412,-171.44,177.13,81.44,-104.63,2.82,7.44,12.19,4.79
ARG,-120,120,4,170,0.02352941,174.74,-174.47,-178.46,96.86,9.04,6.4,8.28,10.05
ARG,-120,120,13,170,0.07647059,179.62,-173.09,-174.47,168.14,8.0,12.45,7.67,18.77
