AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
TRP,-120,120,3,5,0.6,-63.92,99.63,0.0,0.0,4.59,10.47,0.0,0.0
TRP,-90,-60,2,2,1.0,-162.03,-51.31,0.0,0.0,8.14,21.09,0.0,0.0
TRP,-90,0,2,4,0.5,-63.58,100.97,0.0,0.0,4.71,0.41,0.0,0.0
TRP,-60,-60,5,7,0.71428571,-178.08,85.75,0.0,0.0,8.8,6.98,0.0,0.0
TRP,-60,-30,3,13,0.23076923,68.71,-96.2,0.0,0.0,7.4,3.26,0.0,0.0
TRP,-60,-30,2,13,0.15384615,179.51,-104.14,0.0,0.0,7.75,5.82,0.0,0.0
TRP,-60,-30,6,13,0.46153846,-80.64,110.82,0.0,0.0,6.78,11.67,0.0,0.0
TYR,-180,-180,3,3,1.0,69.29,92.32,0.0,0.0,3.35,8.47,0.0,0.0
TYR,-180,150,2,2,1.0,56.49,76.8,0.0,0.0,2.06,18.29,0.0,0.0
TYR,-150,-180,5,8,0.625,56.75,88.0,0.0,0.0,5.77,8.29,0.0,0.0
TYR,-150,-180,3,8,0.375,69.33,-75.6,0.0,0.0,5.68,4.62,0.0,0.0
TYR,-150,-30,2,3,0.66666667,174.81,87.26,0.0,0.0,7.97,10.58,0.0,0.0
TYR,-150,90,2,5,0.4,-173.13,88.55,0.0,0.0,8.96,28.32,0.0,0.0
TYR,-150,90,2,5,0.4,-161.46,-49.86,0.0,0.0,1.34,14.75,0.0,0.0
TYR,-150,150,7,15,0.46666667,58.75,84.83,0.0,0.0,3.15,5.98,0.0,0.0
TYR,-150,150,2,15,0.13333333,64.9,-85.86,0.0,0.0,2.75,3.14,0.0,0.0
TYR,-150,150,4,15,0.26666667,178.38,78.31,0.0,0.0,4.57,3.3,0.0,0.0
